name,rate,review_title,review_detail,https://www.amazon.com/Kobo-Touchscreen-Waterproof-Adjustable-Temperature/dp/B09HSRGZRL/ref=cm_cr_arp_d_product_top?ie=UTF8
JORGE Z.,5.0 out of 5 stars,Good purchase,Sometimes I can't download all the books I buy on platforms other than the Kobo brand,
Dorn,4.0 out of 5 stars,Great reader but handles metadata poorly,"If Amazon bothered to support modern image formats you'd see my reader thinking ""Sanderson, Brandon"" and ""Brandon Sanderson"" being two different authors. This is likely due to a metadata thing, but the reader should be able to handle this.That said, the view is great. It's easy on the eyes, a bit wider than I'd like but not terrible. It works well, I like it, and it's 1000x better than a Kindle because it's supported by Calibre.If you buy one, get a case. It makes it very comfortable in the hand. It's well worth $200 if you already have a collection of DRM free epub files. The Kindle sucks at that and this stands head and shoulders over it for that reason.This is a great reader, I love it.",
Tom N.,3.0 out of 5 stars,Good but flawed,"Ok, first off this reader is much quicker than my Kindle 10. Bluetooth is nice but not used by me. The biggest problem is the inability to direct many ebooks found on Libby, the direct content loader app that's Kobo-supported. This means that the ebook has to be converted on a PC or Mac with Adobe Digital Editions first, then ""side-loaded"" to the Libra 2. Come on Rakuten, get with it and add ADE to this device's firmware. One star off.",
Dion F. Wolfe,5.0 out of 5 stars,Great product,My wife uses her Kobo daily. No issues. Easy to use. Holds a charge for a long period of time,
Franco,1.0 out of 5 stars,Two bad items,I received two items that wouldn't turn on. Then they tell me that there is no problem that I will receive a refund for the item and there is no need to send them back and then they tell me otherwise. Very bad experience shopping in this store and on Amazon in general,
Zafarrancho,5.0 out of 5 stars,Alright,Recommended size,
John C.,4.0 out of 5 stars,Good reader,"It's a nice device, a little sluggish in the menus. But nice features while reading books. Just about the right size for one handed use. Backlight works well.",
Autumn Sevier,4.0 out of 5 stars,good little device,"ordered this a couple weeks ago and i'm really liking it so far .  i've not used their store front but it seems fine.  i've  only side loaded EPUBs so far but its not given me any issues.  i can go days without charging it and i've never dipped past a half battery and it seems to charge quickly.  the lighting being adjustble has been great in bed in a dark room with my partner sleeping next to me as its easy on the eyes .  the sleep screen hows your book's cover so thats rather neat.  the swiping options on the screen are also customizable just in case your the tyupe to accidentally bang into certain spots, and the best part is it has buttons on the side...also its comfotable enough to hold in one hand between 2 fingers for hours at a time like a good ole paperback.only con i've found thus far is its durablity .  not really fault of the device itself so much as a user error but it slid off the bed the 2nd night i got it and landed on a power plug causing some minorr gashes on the side of the devices shell.  i would have thought it would have been made with a tougher material.  that said its just cosmetic damage no fuctional issues so it is what it is.either way i'd recommend this e-reader",
Mario F. Sangines,4.0 out of 5 stars,Small but easy to read,"The screen is small but the contrast is good and easy on the eyes.  I had to get used to book shopping in this Rakuten platform, took some getting used to but it seems well stocked.  Battery life is decent.  Only complaint is that it sometimes jumps to the end or beginning of the book and you have to manually find your place.",
Dilanka,2.0 out of 5 stars,"Great intentions, poor execution - too buggy to be usable.","I REALLY wanted to love this, but after having used it for 3 months, I can't.This could have been the perfect device for someone like me who wants a less restrictive option like the DRM prison enforced by companies like Amazon.My use case was simple: I just wanted to upload my ePub books into the device for reading, and I use Calibre for managing and transferring my library to my Kobo.At first, I thought it was going to work well, but I was wrong.This thing is SO BUGGY.Considering Kobo has been making e-readers for close to 12 YEARS now, I think it's inexcusable.I have had to reset and re-upload my books multiple times... while losing my reading position(s) on multiple books on each attempt.Then, there are random glitches involving connection problems.Calibre would say ""ERROR: Error: Error communicating with device, CorruptError: database disk image is malformed"" and I would have to reset the entire device.Then there are random glitches involving the books themselves.Recently, while in the middle of reading a book, it would randomly freeze, then restart, then when I re-open the book again, it would show a (wrong) page about 15 pages back.It's passed the return window, so I don't know what I'm going to do with this useless paperweight, but I might give it another... going on perhaps 7th attempt to make it work.The biggest annoyance is losing my reading position over and over again on multiple books.The ""Pocket"" integration is also useless as Pocket won't let me save any web pages from paid subscription news sites like NYT, FT etc., which is the entire point of wanting to use Pocket.Overall, a big disappointment.Great intentions, yes, but poor execution.I've spent more time tinkering with this device to get it to work than actually read.",
tyler golightly,2.0 out of 5 stars,Deleted all my progress randomly,Almost two years of progress gone in an instance. Get a different e reader.This will probably piss you off after you waste your time and money.,
