name,rate,review_title,review_detail,,,,https://www.amazon.com/PocketBook-Glare-Free-Eye-Friendly-Audiobooks-Adjustable/dp/B07KPLXZJ4/ref=cm_cr_arp_d_product_top?ie=UTF8
Sharon Freelon,2.0 out of 5 stars,Well....,"So disappointed! I wanted a smaller eReader and this size was perfect.. Such a chore to load books, a process that I consistently failed to achieve. I found I had to use wifi and online reading apps to enjoy my books. Battery charge didn't last as long as I expected, and could only be charged via USB connected to a computer. I would have returned but I wasted too much time trying to get it to work. Sorry, but I'm not impressed.",,,,
Duckfeet,5.0 out of 5 stars,Perfect for backpacking entertainment,"Update: recent update fixed the glitch and it works great now.I took this along for some evening tent time entertainment while backpacking for 2 weeks. It held up wonderfully in my pack - including several days of thunderstorms. No damage. The brightness levels were perfect. This is also the perfect lightweight size. I was able to buy some ebooks from Google books and load them on here quickly by sending them over an email link. I bought this in open box for under $100. There seems to be a bit of glitchiness when swiping to turn the page, but actually turns it back some pages (hence 4 stars) but otherwise I'm glad I chose this over the Kindle.",,,,
Rachel Drenning,5.0 out of 5 stars,Best eReader ever,"I have tried every Kindle, Book, Kobo, etc. and these eReaders win, every time. I absolutely love this one. Just pre-ordered the new Kindle Paperwhite 11 a few weeks ago but going to cancel and order a Pocketbook Inkpad Pro 3.",,,,
powerglide,4.0 out of 5 stars,Good,"Good device, unfortunately reacts a bit sluggishly. But I don't know any comparison/competing products. Pocketbook's in-house eBook shop is rather modest",,,,
Salvador Congost Luengo,5.0 out of 5 stars,Magnificent ebook,A good second-hand purchase.,,,,
David del Valle Laveaga,5.0 out of 5 stars,Excellent purchase,"Super, the device doesn't hurt my eyes, it allows me to read in conditions where a normal tablet can't. It's almost not heavy",,,,
Alexis RENARD,5.0 out of 5 stars,Perfect?,"The screen is very readable thanks to its high resolution, the texts are not “pixelated” which really gives us the impression of being in front of a page of a book. We have many options to adapt the brightness of the screen to the environment, whether it is managed automatically or not. Also, the heat of the screen is adjustable and it is very practical to read at night without disturbing our sleep with the blue light (personally I set the heat of the screen to 100%, it feels a little “orange”, but you get used to it quickly) Very good autonomy, after 4 hours of reading, I still have 90% battery left with a brightness average. Very light, it is pleasant to hold in the hand, but because of its screen width, I am thinking of taking a case with the small strap on the back to hold it even more easily in one hand. You can import books and other files to integrate into the e-reader system (dictionaries for example) from your PC to the “PocketBookCloud”, it's very easy to do. Otherwise you can transfer the files to the e-reader directly by USB connection from your pc, as simply as on a USB key. Navigating through the different sections of the e-reader, as well as through the books, is easy, either through the physical buttons at the bottom of the device, or by touch. A micro USB/3.5mm jack cable allows us to connect headphones and enjoy music that we have recorded in The only downside that I would bring to this e-reader is the annoying lack of responsiveness of the screen, especially when you are used to the velocity of those of smartphones, but nothing disturbing once you are immersed in a book, that's the most important thing.",,,,
Muffy 12,3.0 out of 5 stars,Short lifespan,"After just under two years, the device completely gives up the ghost, despite gentle treatment. Unable to charge Too expensive for the short period of use.",,,,
Amazon Customer,4.0 out of 5 stars,Worth the price.,I bought it for my wife almost two years ago.It still works but sometimes it freezes not often of course. It is light and easy tu use. She is recommending it .,,,,
CNeumannSG,3.0 out of 5 stars,Good reader with errors,"The technical specifications of Touch HD 3 are impressive: 300PPI display with Smartlight, 16GB memory, water protection, Bluetooth and scroll buttons. And all this at a weight of only 155g. Not to mention the numerous eBook, audio and image formats that the device supports. Fantastic.And in fact, the first impression is very good. Small, light, pretty to look at. Very sharp text representation. If you also give the reader a suitable cover, (I chose the recommended “Lines” cover by Pocketbook), it fits well in the hand despite its small dimensions. The initial setup with firmware update is also done quickly and comfortably... but then quietly disillusionment follows.The scroll buttons are not perfectly fitted and wiggle like a child's rocker. The display is well lit but not perfect. At the bottom it is noticeably darker than at the top. A look at the Tolino Shine 3 or Kobo Clara shows how well you can illuminate 6"" displays with Smartlight. But since all displays of these readers come from the same manufacturer, it must be due to the control of the LEDs that the Pocketbook is visibly inferior to the competition.The reading software of the Touch HD 3 is pre-inflood. Page margins, line spacing and font sizes can only be set in very rough steps. And it's not even possible to select Justification as text alignment. So if you buy a left-aligned book, e.g. from Bastei, then it stays on the Pocketbook with this formatting. Even Tolinos and Kindles can do that much better.Anyway, the software: At Pocketbook I always had the impression that new firmware versions are never checked for their core functions. You can now freely select and move the pictograms on the homepage (which is really cool), but apparently one of the developers never tries to read a book on the device. Otherwise, I cannot explain it to myself, for example, that with the new Touch Lux 5 it was not possible to use the chapters of a book. Clicking on any chapter in the table of contents resulted in immediate closing of the book. Apparently, anyone just never tried that.However, you have to let Pocketbook publish bug fixes quickly in such cases. In this respect, Ukraine seems to be much more flexible than Kindle or Kobo/Tolino. But it would be even nicer if these constant bug fixes were not necessary at all. If just a new firmware came on the market, where everything works and not some old problem is eliminated, while creating two new ones at the same time.Fortunately, the Pocketbook firmware allows the installation of additional reading software. Both from the Coolreader I use and from the Koreader there are very useful variants for Pocketbook. These programs can be set up very individually and work without errors, but do not support copy-protected books, such as they can be obtained from the eLibrary.So how to rate Touch HD 3? In principle, very good hardware, which, however, has weaknesses in the scroll buttons of my model and in the illumination. For this there is a star deduction in total.The software can also do much on paper that you would not expect from an eBook reader: from chess to sodoku, from music players to RSS messages, from a Dropbox connection to your own cloud. Class. But Pocketbook stumbles in the core competence of a reader: The reading software, whether Epub2 or Epub3 reader, is very weak and little up-to-date. That costs another star.So remain good three stars for an eBook reader who wants to do everything but still has some weaknesses. Of course, the extensive data sheet makes an impression on the “testers” of computer stupid, but a user who actually reads books with Touch HD 3 quickly notices that hardware and software are not perfect.",,,,
Miguel Angel,4.0 out of 5 stars,Very good e-book reader with fair quality of materials,"It looks great, easy to configure and use, it can be synchronized with the PocketBook website so that you can have your books on several devices synchronized. The quality of the materials is fair, in any case it has already fallen off a few times and the screen has held up perfectly, not so the plastic cover that has been lifted at some point, I suppose that some inner tab has broken.",,,,
P Stéphane,3.0 out of 5 stars,Worse than the previous generation,"I'm used to this range. Now I am disappointed. Under the pretext of a larger memory, it is not possible to put a micro-SD card. And the battery drains faster even without using the light",,,,
